location,temp,high,low,weather_state,latlong,local_time,time_utc
Christchurch,17.2,19.0,12.8,Heavy Rain,"-43.527519,172.635422",04:41,2021-12-30 15:41:55
Wellington,19.0,20.8,14.6,Heavy Cloud,"-41.283779,174.787979",04:41,2021-12-30 15:41:55
Lagos,32.3,34.2,24.1,Light Cloud,"6.439180,3.423480",16:41,2021-12-30 15:41:57
Zagreb,7.4,8.9,4.3,Light Rain,"45.807259,15.967600",16:41,2021-12-30 15:41:58
Yangon,30.5,32.0,20.9,Light Cloud,"16.803890,96.154694",22:12,2021-12-30 15:42:02
Singapore,28.9,30.1,24.9,Heavy Rain,"1.293780,103.853256",23:42,2021-12-30 15:42:13
Alexandria,16.5,17.7,13.3,Light Rain,"31.210489, 29.912430",17:42,2021-12-30 15:42:14
Bangkok,32.4,32.1,25.0,Heavy Cloud,"13.753330,100.504822",22:42,2021-12-30 15:42:15
